# RailSync Synthetic Dataset: Track Management System (TMS)
# Corridors: NDLS-HWH-01, NDLS-CNB-07, CNB-MGS-01
track_code,defect_id,severity_rank,reported_at,required_repair_duration,proposed_date,inspector_notes,corridor_id,start_km,end_km,work_type
TRK-01,TMS-DEF-1041,4,2026-08-31 06:40:00,115,2026-08-31 11:30:00,Rail joint gap closing due to thermal expansion KM 8.2,NDLS-HWH-01,8.0,8.5,JOINT_GAP_REGULATION
TRK-01,TMS-DEF-1042,3,2026-08-31 07:20:00,85,2026-08-31 11:45:00,Longitudinal track level dipping KM 9.6,NDLS-HWH-01,9.0,10.0,LONGITUDINAL_LEVEL_TAMP
TRK-01,TMS-DEF-1043,5,2026-08-31 07:55:00,175,2026-08-31 11:30:00,Acute rail head checking crack KM 8.7,NDLS-HWH-01,8.5,9.0,RAIL_SEGMENT_REPLACEMENT
TRK-01,TMS-DEF-1044,2,2026-08-31 08:35:00,55,2026-08-31 15:00:00,Ballast profiling with shoulder ballast regulator,NDLS-HWH-01,10.5,12.0,BALLAST_PROFILING
TRK-01,TMS-DEF-1045,1,2026-08-31 09:10:00,45,2026-08-31 16:30:00,Foundation bolt torquing on mast portals,NDLS-HWH-01,12.0,14.0,PORTAL_BOLT_TORQUING
TRK-02,TMS-DEF-1046,4,2026-08-31 06:50:00,125,2026-08-31 12:00:00,Scab defect on rail head running surface KM 20.4,NDLS-HWH-01,20.0,21.0,SCAB_DEFECT_MILLING
TRK-02,TMS-DEF-1047,3,2026-08-31 07:30:00,90,2026-08-31 12:15:00,Insulated rail joint end post damaged KM 22.8,NDLS-HWH-01,22.5,23.0,END_POST_RENEWAL
TRK-02,TMS-DEF-1048,5,2026-08-31 08:00:00,185,2026-08-31 12:00:00,Critical cross-level dip at diamond point KM 24.0,NDLS-HWH-01,23.5,24.5,CROSS_LEVEL_RESTORATION
TRK-02,TMS-DEF-1049,2,2026-08-31 08:40:00,60,2026-08-31 15:45:00,Track drainage culvert inspection KM 26.5,NDLS-HWH-01,26.0,27.0,CULVERT_MAINTENANCE
TRK-02,TMS-DEF-1050,3,2026-08-31 09:15:00,80,2026-08-31 16:45:00,Track alignment realignment via tamping machine,NDLS-HWH-01,27.0,28.5,TAMPING_CORRECTION
